00114,ECOLE SOUPETARD,923,736,19,717,79.74,31,4.32,3,0.42,11,1.53,15,2.09,10,1.39,10,1.39,308,42.96,108,15.06,142,19.8,12,1.67,2,0.3,65,9.07
00115,ECOLE SOUPETARD,706,552,5,547,78.19,30,5.48,0,0.0,5,0.92,8,1.46,7,1.28,7,1.28,212,38.76,85,15.54,126,23.03,11,2.01,8,1.46,48,8.78
00116,ECOLE SOUPETARD,873,721,7,714,82.59,29,4.06,2,0.29,12,1.68,13,1.82,20,2.8,14,1.96,267,37.39,139,19.47,148,20.73,8,1.12,4,0.56,58,8.12
00117,ECOLE SOUPETARD,901,743,11,732,82.46,35,4.78,1,0.13,7,0.96,13,1.78,19,2.6,13,1.78,244,33.33,139,18.99,197,26.91,5,0.68,2,0.27,57,7.79
00118,ECOLE ARMAND LEYGUE,1052,903,17,886,85.84,21,2.37,4,0.45,5,0.56,17,1.92,14,1.58,11,1.24,259,29.23,196,22.12,291,32.84,11,1.24,1,0.13,56,6.32
00119,ECOLE ARMAND LEYGUE,902,772,2,770,85.59,18,2.34,0,0.0,4,0.52,14,1.82,5,0.65,19,2.47,181,23.51,151,19.61,314,40.78,20,2.6,2,0.25,42,5.45
00120,ECOLE ARMAND LEYGUE,962,783,3,780,81.39,15,1.92,3,0.38,4,0.51,15,1.92,13,1.67,9,1.15,203,26.03,166,21.28,293,37.56,10,1.28,1,0.15,48,6.15
00121,ECOLE ARMAND LEYGUE,1112,961,9,952,86.42,17,1.79,2,0.18,4,0.42,25,2.63,9,0.95,24,2.52,273,28.68,218,22.9,323,33.93,9,0.95,3,0.32,45,4.73
00122,ECOLE ARMAND LEYGUE,996,853,4,849,85.64,18,2.12,1,0.12,3,0.35,12,1.41,3,0.35,18,2.12,177,20.85,216,25.44,362,42.64,10,1.18,0,0.0,29,3.42
00123,ECOLE ARMAND LEYGUE,1123,968,7,961,86.2,36,3.75,1,0.1,8,0.83,16,1.66,4,0.43,15,1.56,307,31.95,223,23.2,284,29.55,13,1.35,1,0.1,53,5.52
