00104,ECOLE MICHOUN,1041,819,5,814,78 %,42,5,97,11,213,26,128,15,10,1,3,0,3,0,68,8,15,1,235,28
00105,ECOLE MICHOUN,988,741,12,729,75 %,15,2,101,13,165,22,113,15,7,0,2,0,0,0,46,6,11,1,269,36
00106,ECOLE MICHOUN,943,728,12,716,77 %,19,2,108,15,125,17,132,18,9,1,2,0,0,0,50,6,10,1,261,36
00107,ECOLE MICHOUN,1023,812,12,800,79 %,22,2,116,14,176,22,102,12,10,1,2,0,0,0,88,11,15,1,269,33
00108,ECOLE MICHOUN,996,807,9,798,81 %,22,2,99,12,236,29,103,12,8,1,2,0,2,0,74,9,10,1,242,30
00109,ECOLE LA JUNCASSE,1075,824,8,816,76 %,26,3,93,11,225,27,134,16,5,0,1,0,2,0,73,8,11,1,246,30
00110,ECOLE LA JUNCASSE,902,723,12,711,80 %,34,4,59,8,193,27,106,14,10,1,1,0,1,0,60,8,11,1,236,33
00111,ECOLE LA JUNCASSE,969,758,7,751,78 %,32,4,85,11,182,24,92,12,9,1,1,0,1,0,81,10,11,1,257,34
00112,ECOLE LA JUNCASSE,845,614,17,597,72 %,18,3,99,16,127,21,96,16,5,0,3,0,2,0,34,5,6,1,207,34
00113,ECOLE LA JUNCASSE,1023,782,11,772,76 %,35,4,93,12,124,16,145,18,10,1,3,0,1,0,66,8,9,1,286,37
00114,ECOLE SOUPETARD,890,625,5,620,70 %,10,1,89,14,98,15,99,15,10,1,2,0,3,0,50,8,4,0,255,41
00115,ECOLE SOUPETARD,671,479,7,472,71 %,9,1,93,19,88,18,62,13,2,0,1,0,0,0,22,4,5,1,190,40
00116,ECOLE SOUPETARD,913,702,20,682,76 %,15,2,105,15,122,17,129,18,3,0,1,0,2,0,39,5,13,1,253,37
00117,ECOLE SOUPETARD,859,656,11,645,76 %,22,3,62,9,162,25,100,15,6,0,5,0,1,0,56,8,9,1,222,34
00118,ECOLE ARMAND LEYGUE,1104,880,14,866,79 %,48,5,78,9,266,30,94,10,4,0,1,0,1,0,97,11,8,0,269,31
00119,ECOLE ARMAND LEYGUE,940,767,10,757,81 %,23,3,70,9,315,41,67,8,5,0,1,0,1,0,80,10,7,0,188,24
00120,ECOLE ARMAND LEYGUE,1052,803,9,794,76 %,39,4,65,8,314,39,77,9,10,1,3,0,0,0,84,10,19,2,183,23
00121,ECOLE ARMAND LEYGUE,1053,844,6,838,80 %,43,5,72,8,283,33,93,11,5,0,5,0,1,0,79,9,17,2,240,28
00122,ECOLE ARMAND LEYGUE,1009,831,6,825,82 %,38,4,58,7,360,43,78,9,3,0,1,0,0,0,131,15,13,1,143,17
00123,ECOLE ARMAND LEYGUE,1113,850,15,835,76 %,44,5,63,7,232,27,128,15,6,0,2,0,1,0,79,9,7,0,273,32
00124,ECOLE JEAN MACE,1062,896,10,886,84 %,26,2,79,8,319,36,93,10,5,0,1,0,2,0,118,13,19,2,224,25
00125,ECOLE JEAN CHAUBET,958,785,7,778,81 %,33,4,47,6,258,33,106,13,4,0,3,0,3,0,97,12,9,1,218,28
00126,ECOLE JEAN CHAUBET,921,746,6,740,81 %,25,3,69,9,221,29,91,12,5,0,3,0,2,0,78,10,9,1,237,32
00127,ECOLE CHATEAU DE L HERS,899,732,10,722,81 %,34,4,59,8,249,34,83,11,8,1,1,0,2,0,82,11,7,0,197,27
00128,ECOLE CHATEAU DE L HERS,1102,874,10,864,79 %,34,3,94,10,153,17,165,19,14,1,7,0,4,0,73,8,13,1,307,35
00129,ECOLE CHATEAU DE L HERS,986,741,9,732,75 %,28,3,93,12,125,17,112,15,5,0,4,0,1,0,71,9,17,2,276,37
00130,ECOLE CHATEAU DE L HERS,1115,886,17,869,79 %,24,2,146,16,166,19,131,15,6,0,5,0,0,0,69,7,12,1,310,35
00131,ECOLE HENRI GUILLAUMET,1021,824,20,804,80 %,17,2,96,11,217,26,118,14,6,0,3,0,3,0,90,11,8,1,246,30
00132,ECOLE HENRI GUILLAUMET,1065,842,12,830,79 %,35,4,117,14,222,26,97,11,3,0,1,0,3,0,73,8,14,1,265,31
00133,ECOLE HENRI GUILLAUMET,971,771,16,755,79 %,23,3,113,14,170,22,107,14,9,1,5,0,2,0,72,9,11,1,243,32
00134,ECOLE HENRI GUILLAUMET,820,665,11,654,81 %,25,3,59,9,240,36,56,8,4,0,3,0,5,0,68,10,7,1,187,28
00135,ECOLE LA TERRASSE,1030,849,12,838,82 %,34,4,77,9,225,26,98,11,5,0,2,0,4,0,120,14,15,1,258,30
00136,ECOLE LA TERRASSE,717,589,16,575,82 %,20,3,35,6,201,34,57,9,6,1,1,0,2,0,55,9,8,1,190,33
00137,ECOLE LA TERRASSE,981,812,10,804,82 %,28,3,85,10,232,28,91,11,5,0,2,0,1,0,98,12,12,1,250,31
00138,ECOLE LA TERRASSE,898,744,10,734,82 %,27,3,59,8,235,32,75,10,8,1,0,0,1,0,94,12,9,1,226,30
00139,MATERNELLE ANATOLE FRANCE,966,744,12,733,77 %,33,4,89,12,172,23,99,13,6,0,4,0,2,0,83,11,10,1,235,32
00140,MATERNELLE ANATOLE FRANCE,910,720,8,712,79 %,25,3,75,10,210,29,97,13,7,0,2,0,3,0,90,12,11,1,192,26
00141,MATERNELLE ANATOLE FRANCE,959,769,7,762,80 %,37,4,68,8,236,30,98,12,7,0,4,0,1,0,80,10,14,1,217,28
00142,ECOLE ANATOLE FRANCE,910,712,14,698,78 %,20,2,193,27,234,33,52,7,3,0,0,0,0,0,60,8,5,0,131,18
00143,ECOLE ANATOLE FRANCE,959,762,5,757,79 %,35,4,65,8,261,34,92,12,9,1,2,0,2,0,88,11,10,1,193,25
00144,ECOLE ANATOLE FRANCE,990,805,9,796,81 %,29,3,65,8,270,33,94,11,1,0,6,0,2,0,78,9,11,1,240,30
00145,ECOLE SAUZELONG,1005,789,6,783,78 %,33,4,101,12,114,14,130,16,10,1,5,0,4,0,53,6,7,0,326,41
00146,ECOLE SAUZELONG,848,636,10,626,75 %,31,4,84,13,103,16,115,18,6,0,1,0,1,0,47,7,3,0,235,37
00147,ECOLE SAUZELONG,970,786,14,772,81 %,32,4,64,8,160,20,110,14,6,0,2,0,3,0,79,10,7,0,309,40
00148,ECOLE SAUZELONG,862,671,14,657,77 %,34,5,55,8,159,24,114,17,5,0,5,0,1,0,48,7,7,1,229,34
00149,ECOLE RICARDIE,1029,800,13,787,77 %,29,3,108,13,138,17,151,19,12,1,2,0,2,0,59,7,16,2,270,34
00150,ECOLE RICARDIE,1009,801,5,796,79 %,35,4,74,9,147,18,133,16,8,1,2,0,2,0,80,10,9,1,306,38
00151,ECOLE RICARDIE,951,760,10,749,79 %,45,6,74,9,144,19,126,16,3,0,6,0,0,0,58,7,9,1,284,37
00152,ECOLE ANDRE DASTE,958,619,8,611,64 %,17,2,93,15,70,11,127,20,10,1,4,0,3,0,39,6,8,1,240,39
00153,ECOLE ANDRE DASTE,770,406,3,403,52 %,5,1,35,8,36,8,95,23,4,0,2,0,1,0,10,2,2,0,213,52
00154,ECOLE ANDRE DASTE,794,492,7,485,61 %,13,2,78,16,59,12,80,16,5,1,5,1,2,0,20,4,5,1,218,44
00155,MATERNELLE LEO LAGRANGE,751,470,4,466,62 %,29,6,62,13,61,13,90,19,4,0,1,0,2,0,24,5,4,0,189,40
